"OPCS4_or_ICD10"
"G289"
"G282"
"G281"
"G288"
"G283"
"G284"
"G285"
"C811"
"Y111"
"P038"
"T624"
"O311"
"V178"
"C452"
"G618"
"Y716"
"Y713"
"Y717"
"V109"
"Y309"
"Z943"
"Q478"
"Z942"
"T702"
"Z577"
"K453"
"Q282"
"Q361"
"Q369"
"N111"
"Q319"
"Q431"
"Y119"
"Q418"
"X166"
"F114"
"G512"
"N201"
"N204"
"Q239"
"M202"
"A272"
"A278"
"G313"
"A279"
"A273"
"A271"
"K455"
"K454"
"M029"
"Y752"
"C719"
"Z894"
"T573"
"K422"
"K414"
"K401"
"K419"
"K449"
"K428"
"K411"
"K421"
"K408"
"K413"
"K438"
"K439"
"K404"
"K418"
"K412"
"K442"
"K423"
"K403"
"K432"
"K433"
"K409"
"K441"
"K448"
"K434"
"K402"
"K429"
"K424"
"K431"
"Y059"
"Y058"
"C518"
"L371"
"Z785"
"Z782"
"W192"
"Z786"
"Z783"
"Z781"
"Z784"
"W193"
"B283"
"B343"
"B287"
"B411"
"G702"
"Y069"
"M231"
"M239"
"M238"
"H355"
"H359"
"T163"
"T773"
"T778"
"T771"
"T779"
"T772"
"Z602"
"T774"
"W244"
"O178"
"W249"
"O174"
"O175"
"Z791"
"W245"
"W248"
"O179"
"Y063"
"F451"
"R018"
"A134"
"H202"
"H232"
"H262"
"H201"
"H261"
"H231"
"S608"
"Y085"
"A288"
"A255"
"E026"
"E025"
"Z498"
"Y115"
"S622"
"Y083"
"Y429"
"T178"
"Y428"
"Y421"
"Y112"
"Z501"
"Z504"
"Z495"
"S621"
"Z482"
"Z787"
"W091"
"Z491"
"Z493"
"Z479"
"Z473"
"Z474"
"Z471"
"Z472"
"Z478"
"Z475"
"B312"
"V386"
"Z676"
"V559"
"V552"
"V385"
"V384"
"Z679"
"Z671"
"V389"
"V551"
"V553"
"Z678"
"Z673"
"Z675"
"Z677"
"Z672"
"V381"
"V383"
"Z674"
"V388"
"V382"
"V558"
"T368"
"T364"
"T362"
