"OPCS4_or_ICD10"
"G28.9"
"G28.2"
"G28.1"
"G28.8"
"G28.3"
"G28.4"
"G28.5"
"C81.1"
"Y11.1"
"P03.8"
"T62.4"
"O31.1"
"V17.8"
"C45.2"
"G61.8"
"Y71.6"
"Y71.3"
"Y71.7"
"V10.9"
"Y30.9"
"Z94.3"
"Q47.8"
"Y30.9"
"Q47.8"
"Z94.2"
"T70.2"
"Z94.3"
"Z57.7"
"Z94.2"
"T70.2"
"Z57.7"
"K45.3"
"Q28.2"
"Q36.1"
"Q36.9"
"Q36.1"
"Q36.9"
"Q28.2"
"N11.1"
"Z94.3"
"Z94.2"
"N11.1"
"Z94.3"
"Q31.9"
"Z94.2"
"Q31.9"
"Q43.1"
"Z94.2"
"Q43.1"
"Z94.3"
"Z94.3"
"Y11.9"
"Q41.8"
"Z94.2"
"Y11.9"
"Q41.8"
"X16.6"
"Z94.3"
"Z94.2"
"X16.6"
"K45.3"
"K45.3"
"K45.3"
"K45.3"
"Z94.3"
"F11.4"
"F11.4"
"Z94.2"
"G51.2"
"Z94.3"
"N20.1"
"Z94.2"
"N20.1"
"N20.4"
"Z94.3"
"N20.4"
"Z94.2"
"Z94.3"
"Q23.9"
"Q23.9"
"Z94.2"
"Z94.2"
"M20.2"
"Z94.3"
"M20.2"
"M20.2"
"Z94.2"
"M20.2"
"Z94.3"
"A27.2"
"A27.8"
"G31.3"
"A27.9"
"A27.3"
"A27.1"
"K45.5"
"K45.4"
"M02.9"
"Y75.2"
"Z94.2"
"Y75.2"
"M02.9"
"Z94.3"
"Z94.3"
"M02.9"
"Y75.2"
"Z94.2"
"M02.9"
"Y75.2"
"K45.3"
"K45.3"
"K45.3"
"K45.3"
"K45.3"
"C71.9"
"Z89.4"
"T57.3"
"K42.2"
"K42.2"
"K41.4"
"K41.4"
"K40.1"
"K40.1"
"K41.9"
"K41.9"
"K44.9"
"K44.9"
"K42.8"
"K42.8"
"K41.1"
"K41.1"
"K42.1"
"K42.1"
"K40.8"
"K40.8"
